	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Apr 30 19:42:08 2025

	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"131072"   0  0  0  0  31560  16731  8547  4195  2145  989  457  219  110 
"262144"   0  0  0  0  35179  18515  9502  4715  2336  1044  468  231  113 
"524288"   0  0  0  0  33542  17712  9190  4643  2215  1030  504  234  116 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   371165  258497  37381  11172  11372 
"128"   81650  76625  31871  20291  12196  7642 
"256"   84418  90883  58620  23192  15144  7998  3597 
"512"   104331  112278  85066  43724  17578  7679  3448  2053 
"1024"   91399  86191  42075  33092  14134  8456  3868  3110  1715 
"2048"   121211  295649  58047  26992  17936  9614  7353  6033  1221  574 
"4096"   188344  167748  51447  69988  18166  15325  7659  6168  2657  786  278 
"8192"   398904  301892  73741  33294  51180  21490  3883  5012  2107  773  748  385 
"16384"   434913  251161  113587  56289  38916  19520  12121  2488  3093  1570  776  328  82 
"32768"   0  0  0  0  18708  11517  5081  4038  2628  601  313  171  69 
"65536"   0  0  0  0  31488  15529  7862  6349  1745  773  406  208  170 
"131072"   0  0  0  0  36738  18185  9115  4486  2356  1212  541  259  134 
"262144"   0  0  0  0  48418  32431  11748  6305  3992  1468  686  317  166 
"524288"   0  0  0  0  63059  33267  17152  8309  4033  1850  796  379  185 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   800767  365494  137737  83215  40019 
"128"   178764  104562  90005  62646  40958  14726 
"256"   222989  206550  158348  50321  36017  26646  11788 
"512"   176092  181399  104873  98140  31992  16950  10423  5623 
"1024"   179411  140955  101610  60354  36775  15747  8314  8440  5462 
"2048"   175766  503913  99295  58882  31776  18432  13630  16260  2676  1404 
"4096"   159528  151212  157629  97051  31141  24408  14096  8948  4439  2168  494 
"8192"   173914  204348  122897  56990  73145  34005  13081  9501  2127  1074  1150  562 
"16384"   173795  145061  97606  57418  32409  16638  8524  4606  2314  2827  1535  277  283 
"32768"   0  0  0  0  30732  30637  23863  8777  2120  1181  601  248  164 
"65536"   0  0  0  0  105403  19062  11363  4564  2650  1783  517  394  206 
"131072"   0  0  0  0  57888  24636  12198  7760  3370  1708  823  393  239 
"262144"   0  0  0  0  67359  32753  26836  9234  4314  2297  975  516  255 
"524288"   0  0  0  0  88969  46046  21910  10869  7016  3534  1614  752  339 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1141196  473894  114281  90388  62783 
"128"   191519  190214  133255  58907  57140  23857 
"256"   169380  233501  199844  84989  48099  16390  14472 
"512"   208185  268756  194010  115147  46486  20615  11902  6712 
"1024"   208663  137349  113273  60709  39784  17280  9363  10702  5917 
"2048"   167265  526652  98765  67653  33125  17877  21678  16881  2677  1138 
"4096"   194238  166332  176173  76056  28230  29033  20257  11298  4718  1774  523 
"8192"   183562  150033  119378  52265  98693  34371  15086  9512  2263  1137  1442  603 
"16384"   268911  153419  105468  65180  47485  19280  9338  4562  2576  3267  1462  524  314 
"32768"   0  0  0  0  46201  34919  28546  9517  2587  1119  704  456  278 
"65536"   0  0  0  0  100587  45535  20570  10307  6094  2064  1204  617  311 
"131072"   0  0  0  0  109307  43678  27830  12264  6823  3331  1547  681  323 
"262144"   0  0  0  0  105414  55659  27893  13779  7342  3558  1656  745  344 
"524288"   0  0  0  0  115051  59928  28874  14702  7789  3770  1815  740  352 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   665724  420451  87016  71816  34719 
"128"   122148  103275  98745  64576  46395  19991 
"256"   103530  153953  131378  67813  45490  21519  9345 
"512"   120542  148077  122595  108977  43701  21737  9953  5211 
"1024"   134523  95379  96810  54720  35871  18509  11556  9139  5778 
"2048"   127357  437582  93372  54852  33758  19044  19002  17626  1809  1172 
"4096"   129079  134035  107742  68999  31775  27303  19136  10612  4618  1932  515 
"8192"   142340  92702  103309  52870  91028  40252  13968  11747  2514  1180  1565  588 
"16384"   308547  154055  85554  68157  40013  17598  8902  4762  2317  3220  1300  643  311 
"32768"   0  0  0  0  71198  31585  19731  11781  4330  1483  1265  615  253 
"65536"   0  0  0  0  95450  50151  22640  12989  6652  2664  1432  631  309 
"131072"   0  0  0  0  97976  50193  25901  13587  6746  3272  1449  664  314 
"262144"   0  0  0  0  97915  53007  23174  14380  7064  3344  1617  704  329 
"524288"   0  0  0  0  98408  54667  28573  14409  7609  3596  1797  715  345 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   290759  228563  35710  15511  9262 
"128"   83116  52436  40002  22227  11834  6098 
"256"   64453  78224  67527  25327  11725  5634  3965 
"512"   82738  84206  56139  49717  19330  9452  5115  2313 
"1024"   94049  56885  53646  32657  19093  8056  5262  4192  1956 
"2048"   81632  274627  54750  25996  16478  8968  8376  8457  1130  661 
"4096"   109098  96042  76396  37691  18374  14857  8524  6584  2302  900  412 
"8192"   204781  86846  77527  34781  53421  22599  6300  6516  1241  637  822  315 
"16384"   321558  212098  106922  59472  36431  15939  6549  3803  1257  1833  783  363  177 
"32768"   0  0  0  0  49435  25199  13994  6211  3291  1343  730  365  184 
"65536"   0  0  0  0  54555  23746  13855  5917  3692  1343  783  381  188 
"131072"   0  0  0  0  58178  30285  15322  7800  3905  1887  855  400  195 
"262144"   0  0  0  0  61398  33172  15102  8542  4075  2045  874  411  184 
"524288"   0  0  0  0  67350  36075  18047  9353  4628  2204  967  420  200 

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   281018  284828  49372  28551  12164 
"128"   94134  63202  50321  39587  23844  7519 
"256"   98298  126049  94015  49141  23974  14393  8633 
"512"   100786  123771  121705  83385  25735  13742  7295  5205 
"1024"   115882  82268  68656  41135  23086  14255  7647  5746  3135 
"2048"   231066  92390  71670  45360  28649  17468  12941  9593  1818  1017 
"4096"   284137  184447  146369  64097  29806  24520  8306  3906  4086  1517  1017 
"8192"   381947  236483  221257  44818  68778  37206  7826  4097  4140  2272  1177  286 
"16384"   367587  104012  199730  103664  89256  25744  18952  4453  2132  3054  436  250  120 
"32768"   0  0  0  0  59347  16091  15755  4484  2219  1056  487  353  192 
"65536"   0  0  0  0  40218  21383  9312  5307  2816  1318  605  284  137 
"131072"   0  0  0  0  52787  24726  12675  7126  6371  2829  846  578  355 
"262144"   0  0  0  0  61691  34870  18789  9045  4756  2051  1142  474  250 
"524288"   0  0  0  0  99360  53345  22480  10533  7721  2980  1808  700  296 

"Record rewrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   232366  258497  39964  18008  9713 
"128"   100027  76190  42323  25779  15744  6178 
"256"   77856  101234  78507  39812  14758  8340  4482 
"512"   130472  99834  80427  61297  17505  9219  5289  2386 
"1024"   153111  85450  58766  42396  20306  12946  6967  3846  1950 
"2048"   272911  86958  50816  43151  20039  11886  11425  2647  1232  692 
"4096"   279623  165473  143341  52073  28802  23882  5745  3225  3616  1182  652 
"8192"   389870  223384  203094  48174  89021  32518  7782  3782  3932  1869  714  138 
